,title,year,link,rating,votes,genre,runtime
293,Фантасмагорические иллюзии,1898,/title/tt0223508/,6.2,423,"Short, Fantasy",1 min
294,Muchachas bañándose en el lago,1897,/title/tt2332717/,,,"Documentary, Short",
295,"Torpedo Boat, 'Dupont'",1898,/title/tt0221654/,3.6,22,,
296,A Camp of Zingari Gypsies,1897,/title/tt0218073/,,,"Documentary, Short",
297,"Virginia Deer, Buck, Galloping",1887,/title/tt8331654/,4.6,13,"Animation, Short",
298,The Twins' Tea Party,1896,/title/tt0000170/,5.3,156,"Comedy, Short",1 min
299,Major General Shafter,1898,/title/tt0239582/,3.4,59,"Short, News",
300,Guillaume Tell,1896,/title/tt2184201/,5.4,36,"Short, Comedy",
301,Gran corrida de toros,1898,/title/tt0000200/,,,"Documentary, Short, Sport",
302,Les cambrioleurs,1897,/title/tt0000143/,5.0,171,"Comedy, Short",1 min
303,Grand Army Veterans of New York,1898,/title/tt0220498/,,,"Short, Documentary",
304,Пляска духа племени сиу,1894,/title/tt0326158/,5.2,577,Short,1 min
305,Horse Shoeing,1893,/title/tt0240586/,4.9,84,"Documentary, Short",
306,"Трафик на Кингс-Роуд, Челси",1890,/title/tt2116968/,5.2,74,Short,
307,The Great Lafayette,1899,/title/tt0253112/,,,"Short, Comedy",
308,Little Egypt,1896,/title/tt0214880/,5.0,58,Short,
309,Empire State Express,1896,/title/tt0203477/,4.6,13,"Documentary, Short",
310,Jeffries-Sharkey Contest,1899,/title/tt0230366/,3.9,33,"Documentary, News, Sport",135 min
311,"Pack Mules with Ammunition on the Santiago Trail, Cuba",1898,/title/tt0239766/,4.1,58,"Documentary, Short, War",1 min
312,Дерби 1895,1895,/title/tt0000020/,5.1,238,"Documentary, Short, Sport",1 min
313,The Astor Tramp,1899,/title/tt0262245/,4.2,91,"Short, Comedy",2 min
314,Sac au dos,1896,/title/tt0000116/,5.5,13,Short,
315,Admiral Dewey Leading Land Parade,1899,/title/tt0257363/,4.4,123,"Short, News",2 min
316,"Upside Down; or, The Human Flies",1899,/title/tt0212580/,6.3,107,Short,
317,Tearing Down the Spanish Flag,1898,/title/tt0000214/,4.8,47,"Short, War",
